text,label,lang,category
"Tabriklaymiz! Siz Uzum Market aksiyasida iPhone 17 yutib oldingiz. Sovg'ani olish uchun uzum-sovga.xyz saytiga kiring",1,uz,prize
"Hurmatli mijoz, kartangiz vaqtincha bloklandi. Blokdan chiqarish uchun SMS kodni ushbu raqamga yuboring",1,uz,blocked_account
"Assalomu alaykum, men Kapitalbank xavfsizlik bo'limidanman. Kartangizda shubhali operatsiya bor, telefoningizga kelgan kodni ayting",1,uz,bank_impersonation
"Salom, OLX dagi e'loningiz bo'yicha pulni o'tkazib berdim. To'lovni qabul qilish uchun havolaga kiring va karta ma'lumotlarini kiriting",1,uz,marketplace
"Ona, bu men, yangi raqamimdan yozyapman. Muammoga qoldim, tezda 2 mln so'm tashlab bering, hech kimga aytmang",1,uz,relative
"Uyda o'tirib kuniga 500 000 so'm daromad! Faqat layk bosib pul ishlang. Batafsil: @easy_money_uz",1,uz,easy_money
"Rasmlarni ko'ring, siz ham borsiz: Rasm_2026.apk",1,uz,apk
"Posilkangiz yetib keldi. Kuzatish uchun ilovani yuklab oling va o'rnating: pochta-uz.top/track.apk",1,uz,apk
"Davlat xizmatlari: sizga 1 200 000 so'm kompensatsiya ajratildi. Olish uchun karta raqamingiz va amal qilish muddatini yuboring",1,uz,gov
"Kriptovalyutaga 100$ tiking va 3 kunda x2 qiling! Kafolatlangan passiv daromad",1,uz,easy_money
"Click bonus aksiyasi! 24 soat ichida 300 000 so'm bonusni oling: c1ick-bonus.online",1,uz,prize
"Payme: hisobingiz to'xtatildi. Qayta faollashtirish uchun paymе-verify.site ga kiring",1,uz,blocked_account
"Siz lotereya g'olibi bo'ldingiz! Yutuqni olish uchun avval 50 000 so'm komissiyani to'lang",1,uz,advance_fee
"Masofaviy ish taklif qilamiz, oyiga 1000$ gacha. Ro'yxatdan o'tish uchun 100 000 so'm oldindan to'lov",1,uz,easy_money
"Soliq qo'mitasi: sizda to'lanmagan jarima bor. Bugun to'lamasangiz sud ishi ochiladi. Havola: soliq-uz.info/pay",1,uz,gov
"Xavfsiz bitim orqali tovaringizni sotib oldim, pulni olish uchun dostavka orqali to'lov sahifasiga kiring",1,uz,marketplace
"Humo kartangizga 5 000 000 so'm tushdi. Qabul qilish uchun tasdiqlash kodini kiriting: humo-pay.xyz",1,uz,prize
"Dadajon, pul kerak edi, telefonim buzildi, bu do'stimning raqami. Tezda shu kartaga tashlab bering",1,uz,relative
"Instagramda giveaway g'olibi bo'ldingiz! Sovrinni olish uchun yetkazib berish to'lovini to'lang",1,uz,advance_fee
"Hurmatli foydalanuvchi, Telegram akkauntingiz o'chiriladi. Saqlab qolish uchun kodni yuboring",1,uz,blocked_account
"Табриклаймиз! Сиз совға ютиб олдингиз. Совғани олиш учун картангиз рақамини юборинг",1,uz,prize
"Картангиз блокланди. Банк хавфсизлик хизмати: СМС кодни айтинг",1,uz,bank_impersonation
"Онажон, бу мен, янги рақамим. Муаммога тушдим, тезда пул ташлаб юборинг",1,uz,relative
